subject,dfe_qualification_number,dfe_subject_number,dfe_subject_name,prior_attainment_band,probability_u,probability_e,probability_d,probability_c,probability_b,probability_a,probability_a_star
maths,111,12210,Mathematics,< 1,0.4,,0.2,,0.2,,0.2
maths,111,12210,Mathematics,1 to < 2,0.4,0.2,0.2,,0.2,,
maths,111,12210,Mathematics,2 to < 3,0.5,,4.1666666666666664E-2,0.25,4.1666666666666664E-2,0.125,4.1666666666666664E-2
maths,111,12210,Mathematics,3 to < 4,0.29902912621359223,0.24271844660194175,0.2,0.12233009708737864,9.1262135922330095E-2,3.6893203883495145E-2,7.7669902912621356E-3
maths,111,12210,Mathematics,4 to < 5,0.14675693382834681,0.26708888403581565,0.24874426730727234,0.17514741209871151,8.9539200698842539E-2,5.9401616073378467E-2,1.3321685957632671E-2
maths,111,12210,Mathematics,5 to < 6,5.5067950169875424E-2,0.17907701019252548,0.25360985277463194,0.22536806342015855,0.15133069082672707,0.10964043035107587,2.5906002265005664E-2
maths,111,12210,Mathematics,6 to < 7,1.594236579130839E-2,8.026957936323495E-2,0.16950964443411573,0.22574947710899373,0.22026493144317918,0.2176156170113874,7.0648384847780618E-2
maths,111,12210,Mathematics,7 to < 8,2.2792022792022791E-3,2.0940170940170939E-2,6.3295346628679958E-2,0.13528015194681861,0.20997150997150998,0.35237416904083568,0.21585944919278252
maths,111,12210,Mathematics,8 to < 9,6.5114764772912254E-4,3.6627055184763144E-3,1.1150903467361225E-2,4.0533941071137877E-2,0.1071951815074068,0.3530034185251506,0.48380270226273808
maths,111,12210,Mathematics,>=9,,,,0.10416666666666667,6.25E-2,0.20833333333333334,0.625
further_maths,111,12330,Mathematics (Further),< 1,,,,,1,,
further_maths,111,12330,Mathematics (Further),2 to < 3,,,,1,,,
further_maths,111,12330,Mathematics (Further),3 to < 4,0.23684210526315788,0.26315789473684209,0.26315789473684209,0.13157894736842105,5.2631578947368418E-2,5.2631578947368418E-2,
further_maths,111,12330,Mathematics (Further),4 to < 5,0.12186379928315412,0.1863799283154122,0.21146953405017921,0.21146953405017921,0.16845878136200718,8.2437275985663083E-2,1.7921146953405017E-2
further_maths,111,12330,Mathematics (Further),5 to < 6,6.0296846011131729E-2,0.11410018552875696,0.20779220779220781,0.23005565862708721,0.21521335807050093,0.13636363636363635,3.6178107606679034E-2
further_maths,111,12330,Mathematics (Further),6 to < 7,2.5039745627980923E-2,5.6438791732909381E-2,0.1343402225755167,0.21899841017488075,0.24880763116057233,0.23569157392686804,8.0683624801271864E-2
further_maths,111,12330,Mathematics (Further),7 to < 8,3.3589251439539347E-3,1.2715930902111325E-2,5.206333973128599E-2,0.125,0.23368522072936659,0.35340690978886757,0.21976967370441458
further_maths,111,12330,Mathematics (Further),8 to < 9,2.3866348448687352E-3,3.7125430920180325E-3,1.2198355873773535E-2,4.2959427207637228E-2,0.12675682842747282,0.32935560859188545,0.4826306019623442
further_maths,111,12330,Mathematics (Further),>=9,,,0.08,0.04,0.04,0.32,0.52
physics,111,11210,Physics,< 1,,,,,,1,
physics,111,11210,Physics,2 to < 3,0.54545454545454541,9.0909090909090912E-2,,0.18181818181818182,0.18181818181818182,,
physics,111,11210,Physics,3 to < 4,0.44334975369458129,0.17733990147783252,0.23645320197044334,9.8522167487684734E-2,4.4334975369458129E-2,,
physics,111,11210,Physics,4 to < 5,0.23127035830618892,0.27408096789204284,0.26012098650535131,0.15262912982782689,6.6542577943229403E-2,1.3959981386691484E-2,1.3959981386691485E-3
physics,111,11210,Physics,5 to < 6,8.6177474402730381E-2,0.21089306029579066,0.27957906712172925,0.24274744027303755,0.14064277588168372,3.7684869169510811E-2,2.2753128555176336E-3
physics,111,11210,Physics,6 to < 7,2.198705435117641E-2,7.7571149696907427E-2,0.1966505702250077,0.29066063906298162,0.27504366587896845,0.12514127196136854,1.294564882358985E-2
physics,111,11210,Physics,7 to < 8,2.7306860848788257E-3,1.3994766185003983E-2,6.1895551257253385E-2,0.15872112868358176,0.32108317214700194,0.33871885311184435,0.10285584253043577
physics,111,11210,Physics,8 to < 9,4.2607584149978694E-4,8.5215168299957388E-4,8.3084789092458464E-3,4.2394546229228801E-2,0.15551768214742223,0.39092458457605456,0.40157648061354922
physics,111,11210,Physics,>=9,,,4.1666666666666664E-2,4.1666666666666664E-2,0.29166666666666669,0.25,0.375
chemistry,111,11110,Chemistry,< 1,1,,,,,,
chemistry,111,11110,Chemistry,1 to < 2,,0.66666666666666663,0.33333333333333331,,,,
chemistry,111,11110,Chemistry,2 to < 3,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.16666666666666666,0.16666666666666666,,
chemistry,111,11110,Chemistry,3 to < 4,0.37055837563451777,0.27411167512690354,0.18274111675126903,0.12690355329949238,3.0456852791878174E-2,1.5228426395939087E-2,
chemistry,111,11110,Chemistry,4 to < 5,0.22355769230769232,0.29366987179487181,0.25641025641025639,0.15184294871794871,5.4887820512820512E-2,1.8830128205128204E-2,8.0128205128205125E-4
chemistry,111,11110,Chemistry,5 to < 6,8.5129784425868896E-2,0.21733391992960846,0.28508578970523535,0.24857017157941047,0.12571491421029476,3.6625604927408711E-2,1.5398152221733391E-3
chemistry,111,11110,Chemistry,6 to < 7,2.3198857065106469E-2,9.1366759643513165E-2,0.20688482209674128,0.28784271038846182,0.26702496768487655,0.11429348935301721,9.3883937682835567E-3
chemistry,111,11110,Chemistry,7 to < 8,3.3063427800269904E-3,2.078272604588394E-2,7.2469635627530365E-2,0.17874493927125507,0.32462887989203781,0.33367071524966263,6.6396761133603238E-2
chemistry,111,11110,Chemistry,8 to < 9,4.874482086278333E-4,2.4372410431391664E-3,1.0967584694126249E-2,4.1676821837679748E-2,0.16829149402875945,0.45698269558859372,0.31915671459907385
chemistry,111,11110,Chemistry,>=9,,3.4482758620689655E-2,,3.4482758620689655E-2,0.10344827586206896,0.41379310344827586,0.41379310344827586
biology,111,11010,Biology,< 1,0.5,,,0.5,,,
biology,111,11010,Biology,1 to < 2,,,,1,,,
biology,111,11010,Biology,2 to < 3,0.625,,0.25,0.125,,,
biology,111,11010,Biology,3 to < 4,0.44951140065146578,0.31270358306188922,0.16612377850162866,6.1889250814332247E-2,9.7719869706840382E-3,,
biology,111,11010,Biology,4 to < 5,0.22055888223552894,0.34755489021956087,0.27220558882235529,0.12749500998003993,2.6447105788423155E-2,5.4890219560878245E-3,2.4950099800399199E-4
biology,111,11010,Biology,5 to < 6,6.3845050215208032E-2,0.22094691535150646,0.34827833572453371,0.24770444763271163,9.5408895265423246E-2,2.2525107604017217E-2,1.2912482065997131E-3
biology,111,11010,Biology,6 to < 7,1.0549093859886394E-2,6.6973221530971058E-2,0.21747362726535027,0.33221530971057617,0.25902082769813362,0.10538274276440357,8.3851771706789282E-3
biology,111,11010,Biology,7 to < 8,1.6009605763458075E-3,1.067307050897205E-2,5.776799412981122E-2,0.17650590354212528,0.32566206390500968,0.34840904542725637,7.9380961910479622E-2
biology,111,11010,Biology,8 to < 9,3.0129557095510696E-4,9.0388671286532093E-4,5.8752636336245855E-3,2.9526965953600482E-2,0.12759867429948779,0.41669177463091295,0.41910213919855377
biology,111,11010,Biology,>=9,,,,,7.6923076923076927E-2,0.53846153846153844,0.38461538461538464
english_literature,111,15110,English Literature,1 to < 2,,,,,1,,
english_literature,111,15110,English Literature,2 to < 3,7.8947368421052627E-2,0.44736842105263158,0.34210526315789475,7.8947368421052627E-2,5.2631578947368418E-2,,
english_literature,111,15110,English Literature,3 to < 4,4.9707602339181284E-2,0.26803118908382068,0.41617933723196882,0.22417153996101363,3.7037037037037035E-2,4.8732943469785572E-3,
english_literature,111,15110,English Literature,4 to < 5,1.4634146341463415E-2,0.1151219512195122,0.37528455284552847,0.35577235772357724,0.12113821138211382,1.5609756097560976E-2,2.4390243902439024E-3
english_literature,111,15110,English Literature,5 to < 6,4.2665583096302313E-3,3.1389678992279561E-2,0.19809020723283219,0.40654205607476634,0.28250711093051606,6.592848435595286E-2,1.1275904104022755E-2
english_literature,111,15110,English Literature,6 to < 7,7.6645133034052341E-4,5.2556662651921599E-3,5.5841454067666704E-2,0.26146939669330999,0.43413993211431073,0.1906273951604073,5.189970436877258E-2
english_literature,111,15110,English Literature,7 to < 8,1.5339776039269826E-4,7.669888019634913E-4,1.1198036508666973E-2,8.9584292069335783E-2,0.34851971161221046,0.3545022242675257,0.19527534897990489
english_literature,111,15110,English Literature,8 to < 9,,3.55998576005696E-4,1.067995728017088E-3,1.6019935920256318E-2,0.14453542185831256,0.34247063011747952,0.4955500177999288
english_literature,111,15110,English Literature,>=9,,,,,,0.5,0.5
english_language,111,15030,English Language,2 to < 3,7.6923076923076927E-2,0.34615384615384615,0.42307692307692307,0.15384615384615385,,,
english_language,111,15030,English Language,3 to < 4,2.7379400260756193E-2,0.17992177314211213,0.47457627118644069,0.26466753585397651,4.9543676662320728E-2,3.9113428943937422E-3,
english_language,111,15030,English Language,4 to < 5,9.145544813169584E-3,5.1998954794878496E-2,0.30781290828325059,0.47164881107917428,0.14920303109485236,9.9294486542984058E-3,2.6130128037627382E-4
english_language,111,15030,English Language,5 to < 6,2.6845637583892616E-3,1.3199105145413871E-2,0.12774049217002237,0.45234899328859063,0.35167785234899329,4.9888143176733783E-2,2.4608501118568234E-3
english_language,111,15030,English Language,6 to < 7,7.2806698216235891E-4,2.9122679286494356E-3,2.730251183108846E-2,0.23516563523844194,0.53258099745176557,0.1827448125227521,1.8565708045140152E-2
english_language,111,15030,English Language,7 to < 8,,8.8809946714031975E-4,7.104795737122558E-3,7.9040852575488457E-2,0.42007104795737121,0.38721136767317937,0.10568383658969804
english_language,111,15030,English Language,8 to < 9,,,,4.9751243781094526E-3,0.26865671641791045,0.43781094527363185,0.28855721393034828
french,111,15650,French,2 to < 3,0.2857142857142857,0.14285714285714285,0.5714285714285714,,,,
french,111,15650,French,3 to < 4,0.1728395061728395,0.20987654320987653,0.14814814814814814,0.22222222222222221,0.18518518518518517,3.7037037037037035E-2,2.4691358024691357E-2
french,111,15650,French,4 to < 5,7.0247933884297523E-2,0.15702479338842976,0.24793388429752067,0.23760330578512398,0.21487603305785125,6.1983471074380167E-2,1.0330578512396695E-2
french,111,15650,French,5 to < 6,1.9607843137254902E-2,0.10571184995737426,0.23444160272804773,0.27536231884057971,0.25149190110826941,9.8891730605285597E-2,1.4492753623188406E-2
french,111,15650,French,6 to < 7,4.0462427745664737E-3,3.1791907514450865E-2,0.12369942196531791,0.28265895953757225,0.3560693641618497,0.1745664739884393,2.7167630057803469E-2
french,111,15650,French,7 to < 8,4.7080979284369113E-4,4.2372881355932203E-3,2.6365348399246705E-2,0.14265536723163841,0.39689265536723162,0.34792843691148778,8.1450094161958572E-2
french,111,15650,French,8 to < 9,,,2.0818875780707841E-3,2.4288688410825817E-2,0.17557251908396945,0.48993754337265788,0.30811936155447606
french,111,15650,French,>=9,,0.1,,,0.1,0.2,0.6
german,111,15670,German,3 to < 4,0.08,0.28000000000000003,0.2,0.24,0.04,0.12,0.04
german,111,15670,German,4 to < 5,3.3149171270718231E-2,0.18784530386740331,0.30386740331491713,0.15469613259668508,0.11049723756906077,0.17679558011049723,3.3149171270718231E-2
german,111,15670,German,5 to < 6,9.4562647754137114E-3,0.10401891252955082,0.25295508274231676,0.29550827423167847,0.20330969267139479,0.10874704491725769,2.6004728132387706E-2
german,111,15670,German,6 to < 7,1.6420361247947454E-3,2.6272577996715927E-2,0.15270935960591134,0.31855500821018062,0.2857142857142857,0.16420361247947454,5.090311986863711E-2
german,111,15670,German,7 to < 8,,3.9164490861618795E-3,3.7859007832898174E-2,0.17624020887728459,0.36814621409921672,0.32114882506527415,9.2689295039164496E-2
german,111,15670,German,8 to < 9,,,3.8610038610038611E-3,4.4401544401544403E-2,0.15444015444015444,0.51737451737451734,0.27992277992277992
german,111,15670,German,>=9,,,,,,0.6,0.4
physical_education,111,17210,Physical Education/Sports Studies,2 to < 3,,0.8,0.2,,,,
physical_education,111,17210,Physical Education/Sports Studies,3 to < 4,0.24915824915824916,0.36026936026936029,0.2356902356902357,0.12794612794612795,2.0202020202020204E-2,6.7340067340067337E-3,
physical_education,111,17210,Physical Education/Sports Studies,4 to < 5,7.8908913784705312E-2,0.2235752557233317,0.35265465172917682,0.24354603019970775,9.1086215294690701E-2,9.74184120798831E-3,4.8709206039941551E-4
physical_education,111,17210,Physical Education/Sports Studies,5 to < 6,1.3378878451465983E-2,7.5434101907201817E-2,0.23341873042983205,0.37290065471107314,0.24224309706803301,5.5223455735838312E-2,7.4010816965556503E-3
physical_education,111,17210,Physical Education/Sports Studies,6 to < 7,2.7733755942947703E-3,1.4659270998415214E-2,8.1220285261489694E-2,0.26347068145800318,0.39976228209191761,0.1881933438985737,4.992076069730586E-2
physical_education,111,17210,Physical Education/Sports Studies,7 to < 8,,1.0214504596527069E-3,1.2257405515832482E-2,0.10214504596527069,0.32992849846782429,0.36567926455566907,0.18896833503575078
physical_education,111,17210,Physical Education/Sports Studies,8 to < 9,,,1.2422360248447204E-2,4.3478260869565216E-2,0.15527950310559005,0.36024844720496896,0.42857142857142855
computer_studies,111,12610,Computer Studies/Computing,2 to < 3,0.53333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,6.6666666666666666E-2,,
computer_studies,111,12610,Computer Studies/Computing,3 to < 4,0.38114754098360654,0.31147540983606559,0.19262295081967212,8.1967213114754092E-2,2.8688524590163935E-2,4.0983606557377051E-3,
computer_studies,111,12610,Computer Studies/Computing,4 to < 5,0.14419475655430711,0.26342072409488138,0.34706616729088641,0.17852684144818975,6.0549313358302125E-2,6.2421972534332081E-3,
computer_studies,111,12610,Computer Studies/Computing,5 to < 6,4.1063614944463145E-2,0.15180074049141704,0.28778189161898349,0.3123527431841131,0.1709861999326826,3.5678222820599126E-2,3.3658700774150119E-4
computer_studies,111,12610,Computer Studies/Computing,6 to < 7,1.2151536812008578E-2,4.8963545389563976E-2,0.14760543245175126,0.28520371694067193,0.33845604002859186,0.15439599714081487,1.322373123659757E-2
computer_studies,111,12610,Computer Studies/Computing,7 to < 8,5.9844404548174744E-4,8.9766606822262122E-3,3.5906642728904849E-2,0.12746858168761221,0.33153800119688809,0.41651705565529623,7.899461400359066E-2
computer_studies,111,12610,Computer Studies/Computing,8 to < 9,,,,2.8846153846153848E-2,0.17307692307692307,0.43653846153846154,0.36153846153846153
computer_studies,111,12610,Computer Studies/Computing,>=9,,,,,0.5,,0.5
history,111,14010,History,< 1,,,,1,,,
history,111,14010,History,1 to < 2,,,0.33333333333333331,,0.66666666666666663,,
history,111,14010,History,2 to < 3,0.22222222222222221,0.1111111111111111,0.33333333333333331,0.22222222222222221,0.1111111111111111,,
history,111,14010,History,3 to < 4,7.5576036866359442E-2,0.27188940092165897,0.36497695852534562,0.23410138248847925,4.7926267281105994E-2,5.5299539170506912E-3,
history,111,14010,History,4 to < 5,2.7906976744186046E-2,0.1277076411960133,0.34152823920265779,0.35388704318936876,0.13461794019933554,1.3820598006644518E-2,5.3156146179401996E-4
history,111,14010,History,5 to < 6,6.6981275688841532E-3,3.9047039123154208E-2,0.18815649261683665,0.40219211447708936,0.30179631602983709,5.8456386055716243E-2,3.6535241284822652E-3
history,111,14010,History,6 to < 7,1.6896173016811692E-3,9.2928951592464309E-3,6.3022725352707615E-2,0.25099265016473771,0.45264847512038525,0.20072653543972291,2.1627101461518965E-2
history,111,14010,History,7 to < 8,1.1041589988958411E-3,6.1342166605324495E-4,9.4466936572199737E-3,9.2013249907986747E-2,0.38019874861980124,0.41172862225493806,0.1048951048951049
history,111,14010,History,8 to < 9,,,1.1719894520949312E-3,1.6993847055376501E-2,0.1421037210665104,0.48930559624963377,0.35042484617638442
history,111,14010,History,>=9,,,,0.125,,0.375,0.5
music,111,17010,Music,2 to < 3,,0.25,0.5,,0.25,,
music,111,17010,Music,3 to < 4,0.16666666666666666,0.18333333333333332,0.31666666666666665,0.23333333333333334,0.1,,
music,111,17010,Music,4 to < 5,5.6338028169014086E-2,0.19014084507042253,0.33333333333333331,0.26056338028169013,0.14319248826291081,1.4084507042253521E-2,2.3474178403755869E-3
music,111,17010,Music,5 to < 6,1.3574660633484163E-2,9.6153846153846159E-2,0.22850678733031674,0.35407239819004527,0.24547511312217193,5.5429864253393663E-2,6.7873303167420816E-3
music,111,17010,Music,6 to < 7,2.8490028490028491E-3,3.1339031339031341E-2,0.14150047483380818,0.30484330484330485,0.35707502374169042,0.14529914529914531,1.7094017094017096E-2
music,111,17010,Music,7 to < 8,,7.2289156626506026E-3,6.0240963855421686E-2,0.18795180722891566,0.36265060240963853,0.30240963855421688,7.9518072289156624E-2
music,111,17010,Music,8 to < 9,,,1.5945330296127564E-2,6.3781321184510256E-2,0.2072892938496583,0.43963553530751709,0.27334851936218679
music,111,17010,Music,>=9,,,,,,,1
art,111,13510,Art & Design,1 to < 2,0.5,,0.25,,0.25,,
art,111,13510,Art & Design,2 to < 3,8.8235294117647065E-2,0.17647058823529413,0.20588235294117646,0.44117647058823528,5.8823529411764705E-2,,2.9411764705882353E-2
art,111,13510,Art & Design,3 to < 4,4.065040650406504E-2,0.11653116531165311,0.28997289972899731,0.34688346883468835,0.16260162601626016,2.7100271002710029E-2,1.6260162601626018E-2
art,111,13510,Art & Design,4 to < 5,1.2808783165599268E-2,5.4894784995425432E-2,0.18938700823421775,0.37785910338517842,0.26989935956084171,7.0448307410795968E-2,2.4702653247941447E-2
art,111,13510,Art & Design,5 to < 6,3.5486160397444995E-3,2.3420865862313699E-2,0.1022001419446416,0.29311568488289569,0.39247693399574168,0.11284599006387509,7.23917672107878E-2
art,111,13510,Art & Design,6 to < 7,,8.1008100810081012E-3,3.2403240324032405E-2,0.1476147614761476,0.35103510351035105,0.279027902790279,0.18181818181818182
art,111,13510,Art & Design,7 to < 8,,1.7152658662092624E-3,6.8610634648370496E-3,6.86106346483705E-2,0.28473413379073759,0.28130360205831906,0.35677530017152659
art,111,13510,Art & Design,8 to < 9,,,,1.5706806282722512E-2,0.13089005235602094,0.26701570680628273,0.58638743455497377
